1,1,1,Success
1,1,1,Success
1,1,1,Success
1,1,1,Failure
1,1,1,Failure
2,2,1,Failure
3,1,1,Success
3,1,2,Success
2,2,1,Failure
2,2,1,Success
3,1,1,Success
3,1,1,Success
4,3,1,Failure
5,3,1,Failure
3,1,3,Success
2,2,3,Success
3,1,3,Success
2,2,3,Success
2,2,3,Success
2,2,3,Success
5,3,1,Failure
2,2,3,Success
2,2,3,Success
3,1,3,Success
3,1,3,Success
3,1,3,Success
3,1,3,Success
6,3,4,Failure
6,3,4,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
1,1,3,Success
1,1,3,Success
1,1,3,Success
3,1,6,Success
3,1,6,Success
2,2,7,Success
2,2,7,Success
7,1,5,Success
3,1,8,Success
3,1,8,Success
3,1,9,Success
3,1,8,Success
3,1,10,Success
3,1,10,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
3,1,11,Success
3,1,11,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
7,1,5,Success
8,4,12,Success
8,4,13,Failure
8,4,13,Failure
6,3,4,Success
3,1,9,Success
3,1,9,Success
2,2,7,Success
2,2,7,Failure
9,5,6,Failure
8,4,13,Success
9,5,6,Failure
9,5,6,Failure
9,5,6,Failure
9,5,6,Failure
9,5,6,Success
8,4,13,Failure
3,1,13,Success
3,1,13,Success
2,2,13,Success
2,2,13,Success
2,2,13,Failure
8,4,13,Success
10,2,9,Success
10,2,9,Success
10,2,9,Success
9,5,14,Failure
9,5,14,Failure
11,2,15,Success
10,2,4,Success
10,2,4,Success
10,2,4,Success
10,2,4,Failure
10,2,4,Failure
12,5,13,Failure
12,5,13,Failure
12,5,16,Failure
12,5,17,Success
11,2,18,Success
13,1,6,Success
14,5,19,Success
14,5,20,Success
15,1,3,Success
15,1,3,Failure
15,1,3,Success
12,5,21,Success
16,5,22,Success
17,1,5,Success
17,1,5,Success
17,1,5,Success
17,1,5,Success
17,1,23,Success
17,1,23,Success
17,1,24,Success
17,1,24,Success
18,1,25,Success
18,1,25,Success
18,1,26,Success
18,1,26,Success
19,1,27,Success
19,1,27,Success
19,1,28,Success
19,1,28,Success
19,1,28,Failure
19,1,7,Success
19,1,7,Success
